line_number,shakespeare_line
70,"Leese but their show, their substance still lives sweet."
71,"Then let not winter’s ragged hand deface,"
72,In thee thy summer ere thou be distilled:
73,"Make sweet some vial; treasure thou some place,"
74,With beauty’s treasure ere it be self-killed:
75,"That use is not forbidden usury,"
76,Which happies those that pay the willing loan;
77,"That’s for thyself to breed another thee,"
78,"Or ten times happier be it ten for one,"
79,"Ten times thyself were happier than thou art,"
80,If ten of thine ten times refigured thee:
81,"Then what could death do if thou shouldst depart,"
82,Leaving thee living in posterity?
83,"Be not self-willed for thou art much too fair,"
84,To be death’s conquest and make worms thine heir.
85,Lo in the orient when the gracious light
86,"Lifts up his burning head, each under eye"
87,"Doth homage to his new-appearing sight,"
88,"Serving with looks his sacred majesty,"
89,"And having climbed the steep-up heavenly hill,"
90,"Resembling strong youth in his middle age,"
91,"Yet mortal looks adore his beauty still,"
92,Attending on his golden pilgrimage:
93,"But when from highmost pitch with weary car,"
94,"Like feeble age he reeleth from the day,"
95,The eyes (fore duteous) now converted are
96,From his low tract and look another way:
97,"So thou, thyself out-going in thy noon:"
98,Unlooked on diest unless thou get a son.
99,How know’st thou this?
100,"Not long before your Highness sped to France,"
101,"The Duke being at the Rose, within the parish"
102,"Saint Laurence Poultney, did of me demand"
103,What was the speech among the Londoners
104,"Concerning the French journey. I replied,"
105,"Men fear the French would prove perfidious,"
106,To the King’s danger. Presently the Duke
107,"Said ’twas the fear indeed, and that he doubted"
108,’Twould prove the verity of certain words
109,"Spoke by a holy monk, “that oft,” says he,"
110,"“Hath sent to me, wishing me to permit"
111,"John de la Car, my chaplain, a choice hour"
112,To hear from him a matter of some moment;
113,Whom after under the confession’s seal
114,He solemnly had sworn that what he spoke
115,My chaplain to no creature living but
116,"To me should utter, with demure confidence"
117,"This pausingly ensued: ‘Neither the King nor’s heirs,"
118,Tell you the Duke—shall prosper. Bid him strive
119,To gain the love o’ th’ commonalty. The Duke
120,"If I know you well,"
121,"You were the Duke’s surveyor, and lost your office"
122,On the complaint o’ th’ tenants. Take good heed
123,You charge not in your spleen a noble person
124,"And spoil your nobler soul. I say, take heed—"
125,"Yes, heartily beseech you."
126,"On my soul, I’ll speak but truth."
127,"I told my lord the Duke, by th’ devil’s illusions"
128,"The monk might be deceived, and that ’twas dangerous"
129,For him to ruminate on this so far until
130,"It forged him some design, which, being believed,"
131,"It was much like to do. He answered, “Tush,"
132,"It can do me no damage,” adding further"
133,"That had the King in his last sickness failed,"
134,The Cardinal’s and Sir Thomas Lovell’s heads
135,Should have gone off.
136,"Ha! What, so rank? Ah ha!"
137,There’s mischief in this man. Canst thou say further?
138,"I can, my liege."
139,After your Highness had reproved the Duke
140,About Sir William Bulmer—
141,"Of such a time, being my sworn servant,"
142,The Duke retained him his. But on. What hence?
143,"“If,” quoth he, “I for this had been committed,”"
144,"As to the Tower, I thought, “I would have played"
145,The part my father meant to act upon
146,"Th’ usurper Richard who, being at Salisbury,"
147,"Made suit to come in ’s presence; which if granted,"
148,"As he made semblance of his duty, would"
149,Have put his knife into him.”
150,"Now, madam, may his Highness live in freedom,"
151,And this man out of prison?
152,There’s something more would out of thee. What sayst?
153,"After “the Duke his father,” with “the knife,”"
154,"He stretched him, and with one hand on his dagger,"
155,"Another spread on ’s breast, mounting his eyes,"
156,"He did discharge a horrible oath, whose tenour"
157,"Was, were he evil used, he would outgo"
158,His father by as much as a performance
159,Does an irresolute purpose.
160,To sheathe his knife in us. He is attached.
161,Call him to present trial. If he may
162,"Find mercy in the law, ’tis his; if none,"
163,"Let him not seek ’t of us. By day and night,"
164,He’s traitor to th’ height!
165,SCENE III. An ante-chamber in the palace.
166,Enter Lord Chamberlain  and Lord Sandys.
167,Is’t possible the spells of France should juggle
168,Men into such strange mysteries?
169,Though they be never so ridiculous—
170,"Nay, let ’em be unmanly—yet are followed."
171,"As far as I see, all the good our English"
172,Have got by the late voyage is but merely
173,"A fit or two o’ th’ face; but they are shrewd ones,"
174,"For when they hold ’em, you would swear directly"
175,Their very noses had been counsellors
176,"To Pepin or Clotharius, they keep state so."
177,"They have all new legs, and lame ones. One would take it,"
178,"That never saw ’em pace before, the spavin"
179,Or springhalt reigned among ’em.
180,"Their clothes are after such a pagan cut to’t,"
181,"That, sure, they’ve worn out Christendom."
182,Enter Sir Thomas Lovell.
183,"What news, Sir Thomas Lovell?"
184,I hear of none but the new proclamation
185,That’s clapped upon the court gate.
186,The reformation of our travelled gallants
187,"That fill the court with quarrels, talk, and tailors."
188,I’m glad ’tis there. Now I would pray our monsieurs
189,To think an English courtier may be wise
190,And never see the Louvre.
191,"For so run the conditions, leave those remnants"
192,"Of fool and feather that they got in France,"
193,With all their honourable points of ignorance
194,"Pertaining thereunto, as fights and fireworks,"
195,Abusing better men than they can be
196,"Out of a foreign wisdom, renouncing clean"
197,"The faith they have in tennis and tall stockings,"
198,"Short blistered breeches, and those types of travel,"
199,"And understand again like honest men,"
200,"Or pack to their old playfellows. There, I take it,"
201,"They may, _cum privilegio, oui_ away"
202,The lag end of their lewdness and be laughed at.
203,"’Tis time to give ’em physic, their diseases"
204,Are grown so catching.
205,What a loss our ladies
206,Will have of these trim vanities!
207,"There will be woe indeed, lords. The sly whoresons"
208,Have got a speeding trick to lay down ladies.
209,A French song and a fiddle has no fellow.
210,"The devil fiddle ’em! I am glad they are going,"
211,"For sure, there’s no converting of ’em. Now"
212,"An honest country lord, as I am, beaten"
213,"A long time out of play, may bring his plainsong"
214,"And have an hour of hearing, and, by ’r Lady,"
215,Held current music too.
216,"Well said, Lord Sandys."
217,Your colt’s tooth is not cast yet.
218,Nor shall not while I have a stump.
219,Whither were you a-going?
220,Your lordship is a guest too.
221,"This night he makes a supper, and a great one,"
222,To many lords and ladies. There will be
223,"The beauty of this kingdom, I’ll assure you."
224,"That churchman bears a bounteous mind indeed,"
225,A hand as fruitful as the land that feeds us.
226,His dews fall everywhere.
227,No doubt he’s noble;
228,He had a black mouth that said other of him.
229,"He may, my lord; has wherewithal. In him"
230,Sparing would show a worse sin than ill doctrine.
231,Men of his way should be most liberal;
232,They are set here for examples.
233,"True, they are so,"
234,But few now give so great ones. My barge stays.
235,"Your lordship shall along. Come, good Sir Thomas,"
236,"We shall be late else, which I would not be,"
237,"For I was spoke to, with Sir Henry Guildford,"
238,This night to be comptrollers.
239,I am your lordship’s.
240,SCENE IV. A Hall in York Place.
241,"Hautboys. A small table under a state for the Cardinal, a longer table"
242,for the guests. Then enter Anne Bullen and divers other Ladies and
243,"Gentlemen as guests, at one door. At another door enter Sir Henry"
244,"Ladies, a general welcome from his Grace"
245,Salutes ye all. This night he dedicates
246,"To fair content and you. None here, he hopes,"
247,In all this noble bevy has brought with her
248,One care abroad. He would have all as merry
249,"As, first, good company, good wine, good welcome"
250,Can make good people.
251,"Enter Lord Chamberlain, Lord Sandys and Sir Thomas Lovell."
252,"O, my lord, you’re tardy."
253,The very thought of this fair company
254,Clapped wings to me.
255,"You are young, Sir Harry Guildford."
256,"Sir Thomas Lovell, had the Cardinal"
257,"But half my lay thoughts in him, some of these"
258,"Should find a running banquet ere they rested,"
259,"I think would better please ’em. By my life,"
260,They are a sweet society of fair ones.
261,"O, that your lordship were but now confessor"
262,To one or two of these!
263,I would I were.
264,They should find easy penance.
265,As easy as a down bed would afford it.
266,"Sweet ladies, will it please you sit? Sir Harry,"
267,Place you that side; I’ll take the charge of this.
268,"His Grace is ent’ring. Nay, you must not freeze;"
269,Two women placed together makes cold weather.
270,"My Lord Sandys, you are one will keep ’em waking."
271,"Pray, sit between these ladies."
272,"And thank your lordship. By your leave, sweet ladies."
273,"If I chance to talk a little wild, forgive me;"
274,I had it from my father.
275,"Was he mad, sir?"
276,"O, very mad, exceeding mad in love too;"
277,"But he would bite none. Just as I do now,"
278,He would kiss you twenty with a breath.
279,"Well said, my lord."
280,"So, now you’re fairly seated. gentlemen,"
281,The penance lies on you if these fair ladies
282,"For my little cure,"
283,Hautboys. Enter Cardinal Wolsey and takes his state.
284,"You’re welcome, my fair guests. That noble lady"
285,Or gentleman that is not freely merry
286,"Is not my friend. This, to confirm my welcome;"
287,"And to you all, good health."
288,Your Grace is noble.
289,Let me have such a bowl may hold my thanks
290,And save me so much talking.
291,I am beholding to you. Cheer your neighbours.
292,"Ladies, you are not merry. Gentlemen,"
293,Whose fault is this?
294,The red wine first must rise
295,"In their fair cheeks, my lord; then we shall have ’em"
296,Talk us to silence.
297,"You are a merry gamester,"
298,"Yes, if I make my play."
299,"Here’s to your ladyship; and pledge it, madam,"
300,For ’tis to such a thing—
301,You cannot show me.
302,I told your Grace they would talk anon.
303,"Look out there, some of ye."
304,"And to what end, is this? Nay, ladies, fear not."
305,By all the laws of war you’re privileged.
306,"How now, what is’t?"
307,"A noble troop of strangers,"
308,"For so they seem. They’ve left their barge and landed,"
309,"And hither make, as great ambassadors"
310,"Go, give ’em welcome—you can speak the French tongue—"
311,"And pray receive ’em nobly, and conduct ’em"
312,"Into our presence, where this heaven of beauty"
313,Shall shine at full upon them. Some attend him.
314,"You have now a broken banquet, but we’ll mend it."
315,A good digestion to you all; and once more
316,I shower a welcome on ye. Welcome all!
317,"Hautboys. Enter King and others as masquers, habited like shepherds,"
318,ushered by the Lord Chamberlain. They pass directly before the Cardinal
319,and gracefully salute him.
320,A noble company! What are their pleasures?
321,"Because they speak no English, thus they prayed"
322,To tell your Grace: that having heard by fame
323,Of this so noble and so fair assembly
324,"This night to meet here, they could do no less,"
325,"Out of the great respect they bear to beauty,"
326,"But leave their flocks and, under your fair conduct,"
327,Crave leave to view these ladies and entreat
328,An hour of revels with ’em.
329,They have done my poor house grace; for which I pay ’em
330,A thousand thanks and pray ’em take their pleasures.
331,"The fairest hand I ever touched! O beauty,"
332,Till now I never knew thee.
333,Pray tell ’em thus much from me:
334,"There should be one amongst ’em, by his person"
335,"More worthy this place than myself, to whom,"
336,"If I but knew him, with my love and duty"
337,I would surrender it.
338,"I will, my lord."
339,Such a one they all confess
340,"There is indeed, which they would have your Grace"
341,"Find out, and he will take it."
342,"Let me see, then."
343,"By all your good leaves, gentlemen; here I’ll make"
344,"You hold a fair assembly; you do well, lord."
345,"You are a churchman, or I’ll tell you, Cardinal,"
346,I should judge now unhappily.
347,Your Grace is grown so pleasant.
348,Prithee come hither. What fair lady’s that?
349,"An’t please your Grace, Sir Thomas Bullen’s daughter,"
350,"The Viscount Rochford, one of her Highness’ women."
351,"By heaven, she is a dainty one. Sweetheart,"
352,I were unmannerly to take you out
353,"And not to kiss you. A health, gentlemen!"
354,Let it go round.
355,"Sir Thomas Lovell, is the banquet ready"
356,I’ th’ privy chamber?
357,"I fear, with dancing is a little heated."
358,"I fear, too much."
359,"There’s fresher air, my lord,"
360,In the next chamber.
361,"Lead in your ladies, every one. Sweet partner,"
362,"I must not yet forsake you. Let’s be merry,"
363,"Good my Lord Cardinal, I have half a dozen healths"
364,"To drink to these fair ladies, and a measure"
365,"To lead ’em once again, and then let’s dream"
366,Who’s best in favour. Let the music knock it.
367,SCENE I. Westminster. A street.
368,Enter two Gentlemen at several doors.
369,Whither away so fast?
370,"O, God save ye."
371,"Even to the Hall, to hear what shall become"
372,Of the great Duke of Buckingham.
373,"That labour, sir. All’s now done but the ceremony"
374,Of bringing back the prisoner.
375,"Yes, indeed, was I."
376,Pray speak what has happened.
377,You may guess quickly what.
378,Is he found guilty?
379,"Yes, truly is he, and condemned upon’t."
380,I am sorry for’t.
381,So are a number more.
382,"But pray, how passed it?"
383,I’ll tell you in a little. The great Duke
384,"Came to the bar, where to his accusations"
385,He pleaded still not guilty and alleged
386,Many sharp reasons to defeat the law.
387,The King’s attorney on the contrary
388,"Urged on the examinations, proofs, confessions"
389,"Of divers witnesses, which the Duke desired"
390,To have brought _viva voce_ to his face;
391,"At which appeared against him his surveyor,"
392,"Sir Gilbert Peck his chancellor, and John Car,"
393,"Confessor to him, with that devil monk,"
394,"Hopkins, that made this mischief."
395,That fed him with his prophecies?
396,"All these accused him strongly, which he fain"
397,"Would have flung from him, but, indeed he could not."
398,"And so his peers, upon this evidence,"
399,Have found him guilty of high treason. Much
400,"He spoke, and learnedly, for life, but all"
401,Was either pitied in him or forgotten.
402,"After all this, how did he bear himself?"
403,When he was brought again to th’ bar to hear
404,"His knell rung out, his judgement, he was stirred"
405,"With such an agony, he sweat extremely"
406,"And something spoke in choler, ill and hasty."
407,"But he fell to himself again, and sweetly"
408,In all the rest showed a most noble patience.
409,I do not think he fears death.
410,Sure he does not;
411,He never was so womanish. The cause
412,He may a little grieve at.
413,The Cardinal is the end of this.
414,"By all conjectures: first, Kildare’s attainder,"
415,"Then deputy of Ireland, who removed,"
416,"Earl Surrey was sent thither, and in haste too,"
417,Lest he should help his father.
418,That trick of state
419,Was a deep envious one.
420,"No doubt he will requite it. This is noted,"
421,"And generally, whoever the King favours,"
422,"The Cardinal instantly will find employment,"
423,And far enough from court too.
424,"Hate him perniciously and, o’ my conscience,"
425,Wish him ten fathom deep. This duke as much
426,"They love and dote on, call him bounteous Buckingham,"
427,The mirror of all courtesy.
428,"Enter Buckingham from his arraignment. Tipstaves before him, the axe"
429,"with the edge towards him, Halberds on each side, accompanied with Sir"
430,"Thomas Lovell, Sir Nicholas Vaux, Sir William Sandys and common people."
431,And see the noble ruined man you speak of.
432,Let’s stand close and behold him.
433,"You that thus far have come to pity me,"
434,"Hear what I say, and then go home and lose me."
435,"I have this day received a traitor’s judgement,"
436,"And by that name must die; yet heaven bear witness,"
437,"And if I have a conscience, let it sink me,"
438,"Even as the axe falls, if I be not faithful!"
439,The law I bear no malice for my death;
440,"’T has done, upon the premises, but justice."
441,But those that sought it I could wish more Christians.
442,"Be what they will, I heartily forgive ’em."
443,"Yet let ’em look they glory not in mischief,"
444,"Nor build their evils on the graves of great men,"
445,For then my guiltless blood must cry against ’em.
446,"For further life in this world I ne’er hope,"
447,"Nor will I sue, although the King have mercies"
448,More than I dare make faults. You few that loved me
449,"And dare be bold to weep for Buckingham,"
450,"His noble friends and fellows, whom to leave"
451,"Is only bitter to him, only dying,"
452,"Go with me like good angels to my end,"
453,"And as the long divorce of steel falls on me,"
454,"Make of your prayers one sweet sacrifice,"
455,"And lift my soul to heaven. Lead on, i’ God’s name."
456,"I do beseech your Grace, for charity,"
457,If ever any malice in your heart
458,"Were hid against me, now to forgive me frankly."
459,"Sir Thomas Lovell, I as free forgive you"
460,As I would be forgiven. I forgive all.
461,There cannot be those numberless offences
462,’Gainst me that I cannot take peace with. No black envy
463,"Shall mark my grave. Commend me to his Grace,"
464,"And if he speak of Buckingham, pray tell him"
465,You met him half in heaven. My vows and prayers
466,"Yet are the King’s and, till my soul forsake,"
467,Shall cry for blessings on him. May he live
468,Longer than I have time to tell his years;
469,Ever beloved and loving may his rule be;
470,"And when old Time shall lead him to his end,"
471,Goodness and he fill up one monument!
472,"To th’ waterside I must conduct your Grace,"
473,"Then give my charge up to Sir Nicholas Vaux,"
474,Who undertakes you to your end.
475,"The Duke is coming. See the barge be ready,"
476,And fit it with such furniture as suits
477,The greatness of his person.
478,Let it alone. My state now will but mock me.
479,"When I came hither, I was Lord High Constable"
480,"And Duke of Buckingham; now, poor Edward Bohun."
481,"Yet I am richer than my base accusers,"
482,"That never knew what truth meant. I now seal it,"
483,And with that blood will make ’em one day groan for’t.
484,"My noble father, Henry of Buckingham,"
485,"Who first raised head against usurping Richard,"
486,"Flying for succour to his servant Banister,"
487,"Being distressed, was by that wretch betrayed,"
488,"And, without trial, fell. God’s peace be with him."
489,"Henry the Seventh succeeding, truly pitying"
490,"My father’s loss, like a most royal prince,"
491,Restored me to my honours and out of ruins
492,"Made my name once more noble. Now his son,"
493,"Henry the Eighth, life, honour, name, and all"
494,That made me happy at one stroke has taken
495,"For ever from the world. I had my trial,"
496,"And must needs say a noble one, which makes me"
497,A little happier than my wretched father.
498,Yet thus far we are one in fortunes: both
499,"Fell by our servants, by those men we loved most—"
500,A most unnatural and faithless service.
501,"Heaven has an end in all; yet, you that hear me,"
502,This from a dying man receive as certain:
503,Where you are liberal of your loves and counsels
504,Be sure you be not loose; for those you make friends
505,"And give your hearts to, when they once perceive"
506,"The least rub in your fortunes, fall away"
507,"Like water from ye, never found again"
508,"But where they mean to sink ye. All good people,"
509,Pray for me. I must now forsake ye. The last hour
510,Of my long weary life is come upon me.
511,"Farewell. And when you would say something that is sad,"
512,Speak how I fell. I have done; and God forgive me.
513,"O, this is full of pity. Sir, it calls,"
514,"I fear, too many curses on their heads"
515,That were the authors.
516,"If the Duke be guiltless,"
517,’Tis full of woe. Yet I can give you inkling
518,"Of an ensuing evil, if it fall,"
519,Good angels keep it from us!
520,"What may it be? You do not doubt my faith, sir?"
521,"This secret is so weighty, ’twill require"
522,A strong faith to conceal it.
523,Let me have it.
524,I do not talk much.
525,"You shall, sir. Did you not of late days hear"
526,A buzzing of a separation
527,Between the King and Katherine?
528,"Yes, but it held not;"
529,"For when the King once heard it, out of anger"
530,He sent command to the Lord Mayor straight
531,To stop the rumour and allay those tongues
532,That durst disperse it.
533,"But that slander, sir,"
534,"Is found a truth now, for it grows again"
535,"Fresher than e’er it was, and held for certain"
536,"The King will venture at it. Either the Cardinal,"
537,"Or some about him near, have, out of malice"
538,"To the good Queen, possessed him with a scruple"
539,"That will undo her. To confirm this too,"
540,"Cardinal Campeius is arrived, and lately,"
541,"As all think, for this business."
542,And merely to revenge him on the Emperor
543,"For not bestowing on him at his asking,"
544,The archbishopric of Toledo this is purposed.
545,I think you have hit the mark. But is’t not cruel
546,That she should feel the smart of this? The Cardinal
547,"Will have his will, and she must fall."
548,We are too open here to argue this.
549,Let’s think in private more.
550,SCENE II. An ante-chamber in the palace.
551,"Enter Lord Chamberlain, reading this letter."
552,"_My lord, the horses your lordship sent for, with all the care had I"
553,"saw well chosen, ridden, and furnished. They were young and handsome,"
554,and of the best breed in the north. When they were ready to set out for
555,"London, a man of my Lord Cardinal’s, by commission and main power, took"
556,"’em from me, with this reason: his master would be served before a"
557,"subject, if not before the King; which stopped our mouths, sir._"
558,"I fear he will indeed. Well, let him have them."
559,"He will have all, I think."
560,"Enter to the Lord Chamberlain, the Dukes of Norfolk and Suffolk."
561,"Well met, my Lord Chamberlain."
562,Good day to both your Graces.
563,How is the King employed?
564,"I left him private,"
565,Full of sad thoughts and troubles.
566,It seems the marriage with his brother’s wife
567,Has crept too near his conscience.
568,Has crept too near another lady.
569,"This is the Cardinal’s doing, the king-cardinal."
570,"That blind priest, like the eldest son of Fortune,"
571,Turns what he list. The King will know him one day.
572,Pray God he do! He’ll never know himself else.
573,"How holily he works in all his business,"
574,"And with what zeal! For, now he has cracked the league"
575,"Between us and the Emperor, the Queen’s great nephew,"
576,He dives into the King’s soul and there scatters
577,"Dangers, doubts, wringing of the conscience,"
578,Fears and despairs—and all these for his marriage.
579,"And out of all these to restore the King,"
580,"He counsels a divorce, a loss of her"
581,That like a jewel has hung twenty years
582,"About his neck, yet never lost her lustre;"
583,Of her that loves him with that excellence
584,That angels love good men with; even of her
585,"That, when the greatest stroke of fortune falls,"
586,Will bless the King. And is not this course pious?
587,Heaven keep me from such counsel! ’Tis most true:
588,"These news are everywhere, every tongue speaks ’em,"
589,And every true heart weeps for’t. All that dare
590,"Look into these affairs see this main end,"
591,The French king’s sister. Heaven will one day open
592,"The King’s eyes, that so long have slept upon"
593,This bold bad man.
594,And free us from his slavery.
595,"We had need pray,"
596,"And heartily, for our deliverance,"
597,Or this imperious man will work us all
598,From princes into pages. All men’s honours
599,"Lie like one lump before him, to be fashioned"
600,Into what pitch he please.
601,"For me, my lords,"
602,"I love him not, nor fear him; there’s my creed."
603,"As I am made without him, so I’ll stand,"
604,If the King please. His curses and his blessings
605,"Touch me alike, they’re breath I not believe in."
606,"I knew him, and I know him; so I leave him"
607,"To him that made him proud, the Pope."
608,And with some other business put the King
609,From these sad thoughts that work too much upon him.
610,"My lord, you’ll bear us company?"
611,"The King has sent me otherwhere. Besides,"
612,You’ll find a most unfit time to disturb him.
613,Health to your lordships.
614,"Thanks, my good Lord Chamberlain."
615,"[_Exit Lord Chamberlain, and the King draws the curtain and sits"
616,"How sad he looks! Sure, he is much afflicted."
617,Pray God he be not angry.
618,"Who’s there, I say? How dare you thrust yourselves"
619,Into my private meditations?
620,Who am I? Ha?
621,A gracious king that pardons all offences
622,Malice ne’er meant. Our breach of duty this way
623,"Is business of estate, in which we come"
624,To know your royal pleasure.
625,Ye are too bold.
626,Go to; I’ll make ye know your times of business.
627,"Is this an hour for temporal affairs, ha?"
628,Enter Wolsey and Campeius with a commission.
629,"Who’s there? My good Lord Cardinal? O my Wolsey,"
630,"The quiet of my wounded conscience,"
631,"Thou art a cure fit for a king. [_To Campeius_.] You’re welcome,"
632,"Most learned reverend sir, into our kingdom;"
633,"Use us and it. [_To Wolsey_.] My good lord, have great care"
634,I be not found a talker.
635,I would your Grace would give us but an hour
636,"I would not be so sick, though, for his place."
637,But this cannot continue.
638,I’ll venture one have-at-him.
639,Your Grace has given a precedent of wisdom
640,Above all princes in committing freely
641,Your scruple to the voice of Christendom.
642,Who can be angry now? What envy reach you?
643,"The Spaniard, tied by blood and favour to her,"
644,"Must now confess, if they have any goodness,"
645,The trial just and noble. All the clerks—
646,I mean the learned ones in Christian kingdoms—
647,"Have their free voices. Rome, the nurse of judgement,"
648,"Invited by your noble self, hath sent"
649,"One general tongue unto us, this good man,"
650,"This just and learned priest, Cardinal Campeius,"
651,Whom once more I present unto your Highness.
652,"And once more in mine arms I bid him welcome,"
653,And thank the holy conclave for their loves.
654,They have sent me such a man I would have wished for.
655,"Your Grace must needs deserve all strangers’ loves,"
656,You are so noble. To your Highness’ hand
657,"I tender my commission, by whose virtue,"
658,"The court of Rome commanding, you, my Lord"
659,"Cardinal of York, are joined with me their servant"
660,In the unpartial judging of this business.
661,Two equal men. The Queen shall be acquainted
662,Forthwith for what you come. Where’s Gardiner?
663,I know your Majesty has always loved her
664,So dear in heart not to deny her that
665,A woman of less place might ask by law:
666,Scholars allowed freely to argue for her.
667,"Ay, and the best she shall have, and my favour"
668,"To him that does best. God forbid else. Cardinal,"
669,"Prithee call Gardiner to me, my new secretary."
670,I find him a fit fellow.
671,Give me your hand. Much joy and favour to you;
672,You are the King’s now.
673,"For ever by your Grace, whose hand has raised me."
674,"My lord of York, was not one Doctor Pace"
675,In this man’s place before him?
676,Was he not held a learned man?
677,"Believe me, there’s an ill opinion spread, then"
678,"Even of yourself, Lord Cardinal."
679,They will not stick to say you envied him
680,And fearing he would rise—he was so virtuous—
681,"Kept him a foreign man still, which so grieved him"
682,That he ran mad and died.
683,Heav’n’s peace be with him!
684,That’s Christian care enough. For living murmurers
685,"There’s places of rebuke. He was a fool,"
686,"For he would needs be virtuous. That good fellow,"
687,"If I command him, follows my appointment."
688,"I will have none so near else. Learn this, brother:"
689,We live not to be griped by meaner persons.
690,Deliver this with modesty to th’ Queen.
691,The most convenient place that I can think of
692,For such receipt of learning is Blackfriars.
693,There ye shall meet about this weighty business.
694,"My Wolsey, see it furnished. O, my lord,"
695,Would it not grieve an able man to leave
696,"So sweet a bedfellow? But, conscience, conscience!"
697,"O, ’tis a tender place, and I must leave her."
698,SCENE III. An ante-chamber of the Queen’s apartments.
699,Enter Anne Bullen and an Old Lady.
700,Not for that neither. Here’s the pang that pinches:
701,"His Highness having lived so long with her, and she"
702,So good a lady that no tongue could ever
703,"Pronounce dishonour of her—by my life,"
704,"She never knew harm-doing—O, now, after"
705,"So many courses of the sun enthroned,"
706,"Still growing in a majesty and pomp, the which"
707,To leave a thousandfold more bitter than
708,"’Tis sweet at first t’ acquire—after this process,"
709,"To give her the avaunt, it is a pity"
710,Would move a monster.
711,Hearts of most hard temper
712,Melt and lament for her.
713,"O, God’s will! Much better"
714,"She ne’er had known pomp; though’t be temporal,"
715,"Yet if that quarrel, Fortune, do divorce"
716,"It from the bearer, ’tis a sufferance panging"
717,As soul and body’s severing.
718,She’s a stranger now again.
719,So much the more
720,"Must pity drop upon her. Verily,"
721,"I swear, ’tis better to be lowly born"
722,And range with humble livers in content
723,"Than to be perked up in a glist’ring grief,"
724,And wear a golden sorrow.
725,Is our best having.
726,"By my troth and maidenhead,"
727,I would not be a queen.
728,"Beshrew me, I would,"
729,"And venture maidenhead for’t; and so would you,"
730,For all this spice of your hypocrisy.
731,"You, that have so fair parts of woman on you,"
732,"Have too a woman’s heart, which ever yet"
733,"Affected eminence, wealth, sovereignty;"
734,"Which, to say sooth, are blessings; and which gifts,"
735,"Saving your mincing, the capacity"
736,"Of your soft cheveril conscience would receive,"
737,If you might please to stretch it.
738,"Yes, troth and troth. You would not be a queen?"
739,"No, not for all the riches under heaven."
740,"’Tis strange. A threepence bowed would hire me,"
741,"Old as I am, to queen it. But I pray you,"
742,What think you of a duchess? Have you limbs
743,To bear that load of title?
744,Then you are weakly made. Pluck off a little.
745,I would not be a young count in your way
746,For more than blushing comes to. If your back
747,"Cannot vouchsafe this burden, ’tis too weak"
748,Ever to get a boy.
749,How you do talk!
750,I swear again I would not be a queen
751,For all the world.
