line_number,sonnet_line
70,Leese but their show; their substance still lives sweet.
71,"Then let not winter’s ragged hand deface,"
72,"In thee thy summer, ere thou be distill’d:"
73,Make sweet some vial; treasure thou some place
74,With beauty’s treasure ere it be self-kill’d.
75,"That use is not forbidden usury,"
76,Which happies those that pay the willing loan;
77,"That’s for thyself to breed another thee,"
78,"Or ten times happier, be it ten for one;"
79,"Ten times thyself were happier than thou art,"
80,If ten of thine ten times refigur’d thee:
81,"Then what could death do if thou shouldst depart,"
82,Leaving thee living in posterity?
83,"Be not self-will’d, for thou art much too fair"
84,To be death’s conquest and make worms thine heir.
85,Lo! in the orient when the gracious light
86,"Lifts up his burning head, each under eye"
87,"Doth homage to his new-appearing sight,"
88,Serving with looks his sacred majesty;
89,"And having climb’d the steep-up heavenly hill,"
90,"Resembling strong youth in his middle age,"
91,"Yet mortal looks adore his beauty still,"
92,Attending on his golden pilgrimage:
93,"But when from highmost pitch, with weary car,"
94,"Like feeble age, he reeleth from the day,"
95,"The eyes, ’fore duteous, now converted are"
96,"From his low tract, and look another way:"
97,"So thou, thyself outgoing in thy noon:"
98,"Unlook’d, on diest unless thou get a son."
99,"Music to hear, why hear’st thou music sadly?"
100,"Sweets with sweets war not, joy delights in joy:"
101,"Why lov’st thou that which thou receiv’st not gladly,"
102,Or else receiv’st with pleasure thine annoy?
103,"If the true concord of well-tuned sounds,"
104,"By unions married, do offend thine ear,"
105,"They do but sweetly chide thee, who confounds"
106,In singleness the parts that thou shouldst bear.
107,"Mark how one string, sweet husband to another,"
108,Strikes each in each by mutual ordering;
109,"Resembling sire and child and happy mother,"
110,"Who, all in one, one pleasing note do sing:"
111,"Whose speechless song being many, seeming one,"
112,Sings this to thee: ‘Thou single wilt prove none.’
113,"Is it for fear to wet a widow’s eye,"
114,That thou consum’st thyself in single life?
115,"Ah! if thou issueless shalt hap to die,"
116,The world will wail thee like a makeless wife;
117,The world will be thy widow and still weep
118,"That thou no form of thee hast left behind,"
119,When every private widow well may keep
120,"By children’s eyes, her husband’s shape in mind:"
121,Look! what an unthrift in the world doth spend
122,"Shifts but his place, for still the world enjoys it;"
123,"But beauty’s waste hath in the world an end,"
124,And kept unused the user so destroys it.
125,No love toward others in that bosom sits
126,That on himself such murd’rous shame commits.
127,"For shame! deny that thou bear’st love to any,"
128,Who for thyself art so unprovident.
129,"Grant, if thou wilt, thou art belov’d of many,"
130,But that thou none lov’st is most evident:
131,"For thou art so possess’d with murderous hate,"
132,"That ’gainst thyself thou stick’st not to conspire,"
133,Seeking that beauteous roof to ruinate
134,Which to repair should be thy chief desire.
135,"O! change thy thought, that I may change my mind:"
136,Shall hate be fairer lodg’d than gentle love?
137,"Be, as thy presence is, gracious and kind,"
138,Or to thyself at least kind-hearted prove:
139,"Make thee another self for love of me,"
140,That beauty still may live in thine or thee.
141,"As fast as thou shalt wane, so fast thou grow’st,"
142,"In one of thine, from that which thou departest;"
143,"And that fresh blood which youngly thou bestow’st,"
144,"Thou mayst call thine when thou from youth convertest,"
145,"Herein lives wisdom, beauty, and increase;"
146,"Without this folly, age, and cold decay:"
147,"If all were minded so, the times should cease"
148,And threescore year would make the world away.
149,"Let those whom nature hath not made for store,"
150,"Harsh, featureless, and rude, barrenly perish:"
151,"Look, whom she best endow’d, she gave thee more;"
152,Which bounteous gift thou shouldst in bounty cherish:
153,"She carv’d thee for her seal, and meant thereby,"
154,"Thou shouldst print more, not let that copy die."
155,"When I do count the clock that tells the time,"
156,And see the brave day sunk in hideous night;
157,"When I behold the violet past prime,"
158,"And sable curls, all silvered o’er with white;"
159,"When lofty trees I see barren of leaves,"
160,"Which erst from heat did canopy the herd,"
161,"And summer’s green all girded up in sheaves,"
162,"Borne on the bier with white and bristly beard,"
163,"Then of thy beauty do I question make,"
164,"That thou among the wastes of time must go,"
165,Since sweets and beauties do themselves forsake
166,And die as fast as they see others grow;
167,And nothing ’gainst Time’s scythe can make defence
168,"Save breed, to brave him when he takes thee hence."
169,"O! that you were your self; but, love you are"
170,"No longer yours, than you yourself here live:"
171,"Against this coming end you should prepare,"
172,And your sweet semblance to some other give:
173,So should that beauty which you hold in lease
174,Find no determination; then you were
175,"Yourself again, after yourself’s decease,"
176,When your sweet issue your sweet form should bear.
177,"Who lets so fair a house fall to decay,"
178,"Which husbandry in honour might uphold,"
179,Against the stormy gusts of winter’s day
180,And barren rage of death’s eternal cold?
181,"O! none but unthrifts. Dear my love, you know,"
182,You had a father: let your son say so.
183,Not from the stars do I my judgement pluck;
184,"And yet methinks I have astronomy,"
185,"But not to tell of good or evil luck,"
186,"Of plagues, of dearths, or seasons’ quality;"
187,"Nor can I fortune to brief minutes tell,"
188,"Pointing to each his thunder, rain and wind,"
189,Or say with princes if it shall go well
190,By oft predict that I in heaven find:
191,"But from thine eyes my knowledge I derive,"
192,And constant stars in them I read such art
193,"As ‘Truth and beauty shall together thrive,"
194,"If from thyself, to store thou wouldst convert’;"
195,Or else of thee this I prognosticate:
196,‘Thy end is truth’s and beauty’s doom and date.’
197,When I consider everything that grows
198,"Holds in perfection but a little moment,"
199,That this huge stage presenteth nought but shows
200,Whereon the stars in secret influence comment;
201,"When I perceive that men as plants increase,"
202,"Cheered and checked even by the self-same sky,"
203,"Vaunt in their youthful sap, at height decrease,"
204,And wear their brave state out of memory;
205,Then the conceit of this inconstant stay
206,"Sets you most rich in youth before my sight,"
207,Where wasteful Time debateth with Decay
208,"To change your day of youth to sullied night,"
209,"And all in war with Time for love of you,"
210,"As he takes from you, I engraft you new."
211,But wherefore do not you a mightier way
212,"Make war upon this bloody tyrant, Time?"
213,And fortify yourself in your decay
214,With means more blessed than my barren rhyme?
215,"Now stand you on the top of happy hours,"
216,"And many maiden gardens, yet unset,"
217,"With virtuous wish would bear you living flowers,"
218,Much liker than your painted counterfeit:
219,"So should the lines of life that life repair,"
220,"Which this, Time’s pencil, or my pupil pen,"
221,"Neither in inward worth nor outward fair,"
222,Can make you live yourself in eyes of men.
223,"To give away yourself, keeps yourself still,"
224,"And you must live, drawn by your own sweet skill."
225,"Who will believe my verse in time to come,"
226,If it were fill’d with your most high deserts?
227,Though yet heaven knows it is but as a tomb
228,"Which hides your life, and shows not half your parts."
229,"If I could write the beauty of your eyes,"
230,"And in fresh numbers number all your graces,"
231,The age to come would say ‘This poet lies;
232,Such heavenly touches ne’er touch’d earthly faces.’
233,"So should my papers, yellow’d with their age,"
234,"Be scorn’d, like old men of less truth than tongue,"
235,And your true rights be term’d a poet’s rage
236,And stretched metre of an antique song:
237,"But were some child of yours alive that time,"
238,"You should live twice,—in it, and in my rhyme."
239,Shall I compare thee to a summer’s day?
240,Thou art more lovely and more temperate:
241,"Rough winds do shake the darling buds of May,"
242,And summer’s lease hath all too short a date:
243,"Sometime too hot the eye of heaven shines,"
244,"And often is his gold complexion dimm’d,"
245,"And every fair from fair sometime declines,"
246,"By chance, or nature’s changing course untrimm’d:"
247,"But thy eternal summer shall not fade,"
248,"Nor lose possession of that fair thou ow’st,"
249,"Nor shall death brag thou wander’st in his shade,"
250,"When in eternal lines to time thou grow’st,"
251,"So long as men can breathe, or eyes can see,"
252,"So long lives this, and this gives life to thee."
253,"Devouring Time, blunt thou the lion’s paws,"
254,And make the earth devour her own sweet brood;
255,"Pluck the keen teeth from the fierce tiger’s jaws,"
256,"And burn the long-liv’d phoenix, in her blood;"
257,"Make glad and sorry seasons as thou fleets,"
258,"And do whate’er thou wilt, swift-footed Time,"
259,To the wide world and all her fading sweets;
260,But I forbid thee one most heinous crime:
261,"O! carve not with thy hours my love’s fair brow,"
262,Nor draw no lines there with thine antique pen;
263,Him in thy course untainted do allow
264,For beauty’s pattern to succeeding men.
265,"Yet do thy worst, old Time; despite thy wrong,"
266,My love shall in my verse ever live young.
267,"A woman’s face with nature’s own hand painted,"
268,"Hast thou, the master mistress of my passion;"
269,"A woman’s gentle heart, but not acquainted"
270,"With shifting change, as is false women’s fashion:"
271,"An eye more bright than theirs, less false in rolling,"
272,Gilding the object whereupon it gazeth;
273,"A man in hue all ‘hues’ in his controlling,"
274,Which steals men’s eyes and women’s souls amazeth.
275,And for a woman wert thou first created;
276,"Till Nature, as she wrought thee, fell a-doting,"
277,"And by addition me of thee defeated,"
278,By adding one thing to my purpose nothing.
279,"But since she prick’d thee out for women’s pleasure,"
280,Mine be thy love and thy love’s use their treasure.
281,"So is it not with me as with that Muse,"
282,"Stirr’d by a painted beauty to his verse,"
283,Who heaven itself for ornament doth use
284,"And every fair with his fair doth rehearse,"
285,Making a couplement of proud compare.
286,"With sun and moon, with earth and sea’s rich gems,"
287,"With April’s first-born flowers, and all things rare,"
288,That heaven’s air in this huge rondure hems.
289,"O! let me, true in love, but truly write,"
290,"And then believe me, my love is as fair"
291,"As any mother’s child, though not so bright"
292,As those gold candles fix’d in heaven’s air:
293,Let them say more that like of hearsay well;
294,I will not praise that purpose not to sell.
295,"My glass shall not persuade me I am old,"
296,So long as youth and thou are of one date;
297,"But when in thee time’s furrows I behold,"
298,Then look I death my days should expiate.
299,"For all that beauty that doth cover thee,"
300,"Is but the seemly raiment of my heart,"
301,"Which in thy breast doth live, as thine in me:"
302,How can I then be elder than thou art?
303,"O! therefore love, be of thyself so wary"
304,"As I, not for myself, but for thee will;"
305,"Bearing thy heart, which I will keep so chary"
306,As tender nurse her babe from faring ill.
307,"Presume not on thy heart when mine is slain,"
308,Thou gav’st me thine not to give back again.
309,"As an unperfect actor on the stage,"
310,"Who with his fear is put beside his part,"
311,"Or some fierce thing replete with too much rage,"
312,Whose strength’s abundance weakens his own heart;
313,"So I, for fear of trust, forget to say"
314,"The perfect ceremony of love’s rite,"
315,"And in mine own love’s strength seem to decay,"
316,O’ercharg’d with burthen of mine own love’s might.
317,O! let my looks be then the eloquence
318,"And dumb presagers of my speaking breast,"
319,"Who plead for love, and look for recompense,"
320,More than that tongue that more hath more express’d.
321,O! learn to read what silent love hath writ:
322,To hear with eyes belongs to love’s fine wit.
323,"Mine eye hath play’d the painter and hath stell’d,"
324,Thy beauty’s form in table of my heart;
325,"My body is the frame wherein ’tis held,"
326,And perspective it is best painter’s art.
327,"For through the painter must you see his skill,"
328,"To find where your true image pictur’d lies,"
329,"Which in my bosom’s shop is hanging still,"
330,That hath his windows glazed with thine eyes.
331,Now see what good turns eyes for eyes have done:
332,"Mine eyes have drawn thy shape, and thine for me"
333,"Are windows to my breast, where-through the sun"
334,"Delights to peep, to gaze therein on thee;"
335,"Yet eyes this cunning want to grace their art,"
336,"They draw but what they see, know not the heart."
337,Let those who are in favour with their stars
338,"Of public honour and proud titles boast,"
339,"Whilst I, whom fortune of such triumph bars"
340,Unlook’d for joy in that I honour most.
341,Great princes’ favourites their fair leaves spread
342,"But as the marigold at the sun’s eye,"
343,"And in themselves their pride lies buried,"
344,For at a frown they in their glory die.
345,"The painful warrior famoused for fight,"
346,"After a thousand victories once foil’d,"
347,"Is from the book of honour razed quite,"
348,And all the rest forgot for which he toil’d:
349,"Then happy I, that love and am belov’d,"
350,Where I may not remove nor be remov’d.
351,"Lord of my love, to whom in vassalage"
352,"Thy merit hath my duty strongly knit,"
353,"To thee I send this written embassage,"
354,"To witness duty, not to show my wit:"
355,"Duty so great, which wit so poor as mine"
356,"May make seem bare, in wanting words to show it,"
357,But that I hope some good conceit of thine
358,"In thy soul’s thought, all naked, will bestow it:"
359,"Till whatsoever star that guides my moving,"
360,"Points on me graciously with fair aspect,"
361,"And puts apparel on my tatter’d loving,"
362,To show me worthy of thy sweet respect:
363,Then may I dare to boast how I do love thee;
364,"Till then, not show my head where thou mayst prove me."
365,"Weary with toil, I haste me to my bed,"
366,The dear respose for limbs with travel tir’d;
367,But then begins a journey in my head
368,"To work my mind, when body’s work’s expired:"
369,"For then my thoughts, from far where I abide,"
370,"Intend a zealous pilgrimage to thee,"
371,"And keep my drooping eyelids open wide,"
372,Looking on darkness which the blind do see:
373,Save that my soul’s imaginary sight
374,"Presents thy shadow to my sightless view,"
375,"Which, like a jewel hung in ghastly night,"
376,"Makes black night beauteous, and her old face new."
377,"Lo! thus, by day my limbs, by night my mind,"
378,"For thee, and for myself, no quiet find."
379,"How can I then return in happy plight,"
380,That am debarre’d the benefit of rest?
381,"When day’s oppression is not eas’d by night,"
382,"But day by night and night by day oppress’d,"
383,"And each, though enemies to either’s reign,"
384,"Do in consent shake hands to torture me,"
385,"The one by toil, the other to complain"
386,"How far I toil, still farther off from thee."
387,"I tell the day, to please him thou art bright,"
388,And dost him grace when clouds do blot the heaven:
389,"So flatter I the swart-complexion’d night,"
390,When sparkling stars twire not thou gild’st the even.
391,"But day doth daily draw my sorrows longer,"
392,And night doth nightly make grief’s length seem stronger.
393,When in disgrace with fortune and men’s eyes
394,"I all alone beweep my outcast state,"
395,"And trouble deaf heaven with my bootless cries,"
396,"And look upon myself, and curse my fate,"
397,"Wishing me like to one more rich in hope,"
398,"Featur’d like him, like him with friends possess’d,"
399,"Desiring this man’s art, and that man’s scope,"
400,With what I most enjoy contented least;
401,"Yet in these thoughts my self almost despising,"
402,"Haply I think on thee, and then my state,"
403,Like to the lark at break of day arising
404,"From sullen earth, sings hymns at heaven’s gate;"
405,For thy sweet love remember’d such wealth brings
406,That then I scorn to change my state with kings.
407,When to the sessions of sweet silent thought
408,"I summon up remembrance of things past,"
409,"I sigh the lack of many a thing I sought,"
410,And with old woes new wail my dear time’s waste:
411,"Then can I drown an eye, unused to flow,"
412,"For precious friends hid in death’s dateless night,"
413,"And weep afresh love’s long since cancell’d woe,"
414,And moan the expense of many a vanish’d sight:
415,"Then can I grieve at grievances foregone,"
416,And heavily from woe to woe tell o’er
417,"The sad account of fore-bemoaned moan,"
418,Which I new pay as if not paid before.
419,"But if the while I think on thee, dear friend,"
420,All losses are restor’d and sorrows end.
421,"Thy bosom is endeared with all hearts,"
422,Which I by lacking have supposed dead;
423,"And there reigns Love, and all Love’s loving parts,"
424,And all those friends which I thought buried.
425,How many a holy and obsequious tear
426,"Hath dear religious love stol’n from mine eye,"
427,"As interest of the dead, which now appear"
428,But things remov’d that hidden in thee lie!
429,"Thou art the grave where buried love doth live,"
430,"Hung with the trophies of my lovers gone,"
431,"Who all their parts of me to thee did give,"
432,That due of many now is thine alone:
433,"Their images I lov’d, I view in thee,"
434,"And thou, all they, hast all the all of me."
435,"If thou survive my well-contented day,"
436,When that churl Death my bones with dust shall cover
437,And shalt by fortune once more re-survey
438,"These poor rude lines of thy deceased lover,"
439,"Compare them with the bett’ring of the time,"
440,"And though they be outstripp’d by every pen,"
441,"Reserve them for my love, not for their rhyme,"
442,Exceeded by the height of happier men.
443,O! then vouchsafe me but this loving thought:
444,"‘Had my friend’s Muse grown with this growing age,"
445,"A dearer birth than this his love had brought,"
446,To march in ranks of better equipage:
447,"But since he died and poets better prove,"
448,"Theirs for their style I’ll read, his for his love’."
449,Full many a glorious morning have I seen
450,"Flatter the mountain tops with sovereign eye,"
451,"Kissing with golden face the meadows green,"
452,Gilding pale streams with heavenly alchemy;
453,Anon permit the basest clouds to ride
454,"With ugly rack on his celestial face,"
455,"And from the forlorn world his visage hide,"
456,Stealing unseen to west with this disgrace:
457,"Even so my sun one early morn did shine,"
458,With all triumphant splendour on my brow;
459,"But out! alack! he was but one hour mine,"
460,The region cloud hath mask’d him from me now.
461,Yet him for this my love no whit disdaineth;
462,Suns of the world may stain when heaven’s sun staineth.
463,"Why didst thou promise such a beauteous day,"
464,"And make me travel forth without my cloak,"
465,"To let base clouds o’ertake me in my way,"
466,Hiding thy bravery in their rotten smoke?
467,"’Tis not enough that through the cloud thou break,"
468,"To dry the rain on my storm-beaten face,"
469,"For no man well of such a salve can speak,"
470,"That heals the wound, and cures not the disgrace:"
471,Nor can thy shame give physic to my grief;
472,"Though thou repent, yet I have still the loss:"
473,The offender’s sorrow lends but weak relief
474,To him that bears the strong offence’s cross.
475,"Ah! but those tears are pearl which thy love sheds,"
476,And they are rich and ransom all ill deeds.
477,No more be griev’d at that which thou hast done:
478,"Roses have thorns, and silver fountains mud:"
479,"Clouds and eclipses stain both moon and sun,"
480,And loathsome canker lives in sweetest bud.
481,"All men make faults, and even I in this,"
482,"Authorizing thy trespass with compare,"
483,"Myself corrupting, salving thy amiss,"
484,Excusing thy sins more than thy sins are;
485,For to thy sensual fault I bring in sense;
486,"Thy adverse party is thy advocate,"
487,And ’gainst myself a lawful plea commence:
488,"Such civil war is in my love and hate,"
489,"That I an accessary needs must be,"
490,To that sweet thief which sourly robs from me.
491,"Let me confess that we two must be twain,"
492,Although our undivided loves are one:
493,"So shall those blots that do with me remain,"
494,"Without thy help, by me be borne alone."
495,"In our two loves there is but one respect,"
496,"Though in our lives a separable spite,"
497,"Which though it alter not love’s sole effect,"
498,Yet doth it steal sweet hours from love’s delight.
499,"I may not evermore acknowledge thee,"
500,"Lest my bewailed guilt should do thee shame,"
501,"Nor thou with public kindness honour me,"
502,Unless thou take that honour from thy name:
503,"But do not so, I love thee in such sort,"
504,"As thou being mine, mine is thy good report."
505,As a decrepit father takes delight
506,"To see his active child do deeds of youth,"
507,"So I, made lame by Fortune’s dearest spite,"
508,Take all my comfort of thy worth and truth;
509,"For whether beauty, birth, or wealth, or wit,"
510,"Or any of these all, or all, or more,"
511,"Entitled in thy parts, do crowned sit,"
512,"I make my love engrafted, to this store:"
513,"So then I am not lame, poor, nor despis’d,"
514,Whilst that this shadow doth such substance give
515,"That I in thy abundance am suffic’d,"
516,And by a part of all thy glory live.
517,"Look what is best, that best I wish in thee:"
518,This wish I have; then ten times happy me!
519,"How can my Muse want subject to invent,"
520,"While thou dost breathe, that pour’st into my verse"
521,"Thine own sweet argument, too excellent"
522,For every vulgar paper to rehearse?
523,"O! give thyself the thanks, if aught in me"
524,Worthy perusal stand against thy sight;
525,"For who’s so dumb that cannot write to thee,"
526,When thou thyself dost give invention light?
527,"Be thou the tenth Muse, ten times more in worth"
528,Than those old nine which rhymers invocate;
529,"And he that calls on thee, let him bring forth"
530,Eternal numbers to outlive long date.
531,"If my slight Muse do please these curious days,"
532,"The pain be mine, but thine shall be the praise."
533,"O! how thy worth with manners may I sing,"
534,When thou art all the better part of me?
535,What can mine own praise to mine own self bring?
536,And what is’t but mine own when I praise thee?
537,"Even for this, let us divided live,"
538,"And our dear love lose name of single one,"
539,That by this separation I may give
540,That due to thee which thou deserv’st alone.
541,"O absence! what a torment wouldst thou prove,"
542,"Were it not thy sour leisure gave sweet leave,"
543,"To entertain the time with thoughts of love,"
544,"Which time and thoughts so sweetly doth deceive,"
545,"And that thou teachest how to make one twain,"
546,By praising him here who doth hence remain.
547,"Take all my loves, my love, yea take them all;"
548,What hast thou then more than thou hadst before?
549,"No love, my love, that thou mayst true love call;"
550,"All mine was thine, before thou hadst this more."
551,"Then, if for my love, thou my love receivest,"
552,"I cannot blame thee, for my love thou usest;"
553,"But yet be blam’d, if thou thyself deceivest"
554,By wilful taste of what thyself refusest.
555,"I do forgive thy robbery, gentle thief,"
556,Although thou steal thee all my poverty:
557,"And yet, love knows it is a greater grief"
558,"To bear love’s wrong, than hate’s known injury."
559,"Lascivious grace, in whom all ill well shows,"
560,Kill me with spites yet we must not be foes.
561,"Those pretty wrongs that liberty commits,"
562,"When I am sometime absent from thy heart,"
563,"Thy beauty, and thy years full well befits,"
564,For still temptation follows where thou art.
565,"Gentle thou art, and therefore to be won,"
566,"Beauteous thou art, therefore to be assail’d;"
567,"And when a woman woos, what woman’s son"
568,Will sourly leave her till he have prevail’d?
569,"Ay me! but yet thou mightst my seat forbear,"
570,"And chide thy beauty and thy straying youth,"
571,Who lead thee in their riot even there
572,Where thou art forced to break a twofold truth:
573,"Hers by thy beauty tempting her to thee,"
574,Thine by thy beauty being false to me.
575,"That thou hast her it is not all my grief,"
576,And yet it may be said I loved her dearly;
577,"That she hath thee is of my wailing chief,"
578,A loss in love that touches me more nearly.
579,Loving offenders thus I will excuse ye:
580,"Thou dost love her, because thou know’st I love her;"
581,"And for my sake even so doth she abuse me,"
582,Suffering my friend for my sake to approve her.
583,"If I lose thee, my loss is my love’s gain,"
584,"And losing her, my friend hath found that loss;"
585,"Both find each other, and I lose both twain,"
586,And both for my sake lay on me this cross:
587,But here’s the joy; my friend and I are one;
588,Sweet flattery! then she loves but me alone.
589,"When most I wink, then do mine eyes best see,"
590,For all the day they view things unrespected;
591,"But when I sleep, in dreams they look on thee,"
592,"And darkly bright, are bright in dark directed."
593,"Then thou, whose shadow shadows doth make bright,"
594,How would thy shadow’s form form happy show
595,"To the clear day with thy much clearer light,"
596,When to unseeing eyes thy shade shines so!
597,"How would, I say, mine eyes be blessed made"
598,"By looking on thee in the living day,"
599,When in dead night thy fair imperfect shade
600,Through heavy sleep on sightless eyes doth stay!
601,"All days are nights to see till I see thee,"
602,And nights bright days when dreams do show thee me.
603,"If the dull substance of my flesh were thought,"
604,Injurious distance should not stop my way;
605,"For then despite of space I would be brought,"
606,"From limits far remote, where thou dost stay."
607,No matter then although my foot did stand
608,Upon the farthest earth remov’d from thee;
609,"For nimble thought can jump both sea and land,"
610,As soon as think the place where he would be.
611,"But, ah! thought kills me that I am not thought,"
612,"To leap large lengths of miles when thou art gone,"
613,"But that so much of earth and water wrought,"
614,I must attend time’s leisure with my moan;
615,Receiving nought by elements so slow
616,"But heavy tears, badges of either’s woe."
617,"The other two, slight air, and purging fire"
618,"Are both with thee, wherever I abide;"
619,"The first my thought, the other my desire,"
620,These present-absent with swift motion slide.
621,For when these quicker elements are gone
622,"In tender embassy of love to thee,"
623,"My life, being made of four, with two alone"
624,"Sinks down to death, oppress’d with melancholy;"
625,Until life’s composition be recur’d
626,"By those swift messengers return’d from thee,"
627,"Who even but now come back again, assur’d,"
628,"Of thy fair health, recounting it to me:"
629,"This told, I joy; but then no longer glad,"
630,"I send them back again, and straight grow sad."
631,"Mine eye and heart are at a mortal war,"
632,How to divide the conquest of thy sight;
633,"Mine eye my heart thy picture’s sight would bar,"
634,My heart mine eye the freedom of that right.
635,"My heart doth plead that thou in him dost lie,"
636,A closet never pierced with crystal eyes;
637,"But the defendant doth that plea deny,"
638,And says in him thy fair appearance lies.
639,To side this title is impannelled
640,"A quest of thoughts, all tenants to the heart;"
641,And by their verdict is determined
642,"The clear eye’s moiety, and the dear heart’s part:"
643,"As thus; mine eye’s due is thy outward part,"
644,"And my heart’s right, thy inward love of heart."
645,"Betwixt mine eye and heart a league is took,"
646,And each doth good turns now unto the other:
647,"When that mine eye is famish’d for a look,"
648,"Or heart in love with sighs himself doth smother,"
649,"With my love’s picture then my eye doth feast,"
650,And to the painted banquet bids my heart;
651,"Another time mine eye is my heart’s guest,"
652,And in his thoughts of love doth share a part:
653,"So, either by thy picture or my love,"
654,"Thyself away, art present still with me;"
655,"For thou not farther than my thoughts canst move,"
656,"And I am still with them, and they with thee;"
657,"Or, if they sleep, thy picture in my sight"
658,"Awakes my heart, to heart’s and eye’s delight."
659,"How careful was I when I took my way,"
660,"Each trifle under truest bars to thrust,"
661,That to my use it might unused stay
662,"From hands of falsehood, in sure wards of trust!"
663,"But thou, to whom my jewels trifles are,"
664,"Most worthy comfort, now my greatest grief,"
665,"Thou best of dearest, and mine only care,"
666,Art left the prey of every vulgar thief.
667,"Thee have I not lock’d up in any chest,"
668,"Save where thou art not, though I feel thou art,"
669,"Within the gentle closure of my breast,"
670,From whence at pleasure thou mayst come and part;
671,"And even thence thou wilt be stol’n I fear,"
672,For truth proves thievish for a prize so dear.
673,"Against that time, if ever that time come,"
674,"When I shall see thee frown on my defects,"
675,"When as thy love hath cast his utmost sum,"
676,Call’d to that audit by advis’d respects;
677,"Against that time when thou shalt strangely pass,"
678,"And scarcely greet me with that sun, thine eye,"
679,"When love, converted from the thing it was,"
680,Shall reasons find of settled gravity;
681,"Against that time do I ensconce me here,"
682,"Within the knowledge of mine own desert,"
683,"And this my hand, against my self uprear,"
684,To guard the lawful reasons on thy part:
685,"To leave poor me thou hast the strength of laws,"
686,Since why to love I can allege no cause.
687,"How heavy do I journey on the way,"
688,"When what I seek, my weary travel’s end,"
689,"Doth teach that ease and that repose to say,"
690,‘Thus far the miles are measured from thy friend!’
691,"The beast that bears me, tired with my woe,"
692,"Plods dully on, to bear that weight in me,"
693,As if by some instinct the wretch did know
694,"His rider lov’d not speed, being made from thee:"
695,"The bloody spur cannot provoke him on,"
696,"That sometimes anger thrusts into his hide,"
697,"Which heavily he answers with a groan,"
698,More sharp to me than spurring to his side;
699,"For that same groan doth put this in my mind,"
700,"My grief lies onward, and my joy behind."
701,Thus can my love excuse the slow offence
702,Of my dull bearer when from thee I speed:
703,From where thou art why should I haste me thence?
704,"Till I return, of posting is no need."
705,"O! what excuse will my poor beast then find,"
706,When swift extremity can seem but slow?
707,"Then should I spur, though mounted on the wind,"
708,"In winged speed no motion shall I know,"
709,Then can no horse with my desire keep pace;
710,"Therefore desire, of perfect’st love being made,"
711,"Shall neigh no dull flesh in his fiery race,"
712,"But love, for love, thus shall excuse my jade:"
713,"‘Since from thee going, he went wilful-slow,"
